Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,50.3119,-68.7324,90,top
C2,1uF,C_0603_1608Metric,55.9253,-68.7324,-90,top
C3,10uF,C_0603_1608Metric,52.959,-65.532,-90,top
C4,0.1uF,C_0603_1608Metric,55.1942,-63.3476,0,top
R1,4K7,R_0603_1608Metric,58.8772,-68.7324,90,top
R2,4K7,R_0603_1608Metric,63.2913,-68.7324,90,top
R3,4K7,R_0603_1608Metric,61.8181,-68.7324,90,top
R4,4K7,R_0603_1608Metric,60.3504,-68.7324,90,top
R5,100R,R_0603_1608Metric,50.0126,-65.532,-90,top
R6,100R,R_0603_1608Metric,51.4858,-65.532,-90,top
U2,AP2112K-3.3,SOT-23-5,53.1114,-68.7172,-90,top
